Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Ruthenium-103 Ru-103;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Ruthenium-106 Ru-106;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Silber-110m Ag-110m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Indium-111 In-111;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Antimon-124 Sb-124;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Antimon-125 Sb-125;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Tellur-123m Te-123m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Tellur-132 Te-132;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Barium-140 Ba-140;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Lanthan-140 La-140;n.n.;Bq/kg(FM)
